Invoice_DateTime,Revenue
2012-10-02,2515.543714387464
2012-10-03,2452.3868518518516
2012-10-04,3571.8394230769213
2012-10-05,4313.694600000002
2012-10-06,3716.5579381443304
2012-10-07,4111.362517459262
2012-10-08,4506.167096774194
2012-10-09,4208.262272727273
2012-10-10,3566.0872602739723
2012-10-11,3726.0865624999997
2012-10-12,6189.660449438205
2012-10-13,5217.55703125
2012-10-14,4481.823376736111
2012-10-15,3746.0897222222216
2012-10-16,4045.7332142857144
2012-10-17,6100.449444444445
2012-10-18,3966.5475555555554
2012-10-19,3641.008351648352
2012-10-20,3985.952056074765
2012-10-21,499.32
2012-10-22,3846.769537037038
2012-10-23,4987.805555555557
2012-10-24,4201.568888888888
2012-10-25,4159.221428571428
2012-10-26,4157.060795454543
2012-10-27,4438.527857142857
2012-10-28,2694.472083333333
